company,site,address
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Сургутское месторождение (Surgut Field),"г. Сургут, ул. Нефтеюганская, д. 47"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Федоровское месторождение (Fedorovskoye Field),"Сургутский район, пос. Федоровский"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Талинское месторождение (Talinskoye Field),"Сургутский район, пос. Талинка"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,ТромАганское месторождение (TromAgan Field),"Сургутский район, пос. Тром-Аган"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Лянторское месторождение (Lyantor Field),"Сургутский район, г. Лянтор"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Талаканское месторождение (Talakanskoye Field),"Нефтеюганский район, пос. Талакан"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Пойковское месторождение (Poikovskoye Field),"Нефтеюганский район, г. Покачи"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Приобское месторождение (Priobskoe Field),"Нефтеюганский район, пос. Приобье"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Соровское месторождение (Sorovskoye Field),"Нефтеюганский район, пос. Соровое"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Ватьеганское месторождение (Vatyenganskoye Field),"Нефтеюганский район, пос. Ватьеган"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,ЗападноСургутское месторождение (ZapadnoSurgutskoye Field),"Сургутский район, пос. Федоровский"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,ЮжноСургутское месторождение (YuzhnoSurgutskoye Field),"Сургутский район, пос. Федоровский"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Нижнесортымское месторождение (NizhneSortymskoye Field),"Сургутский район, пос. Нижнесортымский"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Сургутское месторождение тяжелой нефти (Surgut Heavy Oil Field),"Сургутский район, пос. Талинка"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Фёдоровское месторождение тяжелой нефти (Fedorovskoye Heavy Oil Field),"Сургутский район, пос. Федоровский"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Лянторское месторождение тяжелой нефти (Lyantor Heavy Oil Field),"Сургутский район, г. Лянтор"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Талаканское месторождение тяжелой нефти (Talakanskoye Heavy Oil Field),"Нефтеюганский район, пос. Талакан"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Пойковское месторождение тяжелой нефти (Poikovskoye Heavy Oil Field),"Нефтеюганский район, г. Покачи"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Приобское месторождение тяжелой нефти (Priobskoe Heavy Oil Field),"Нефтеюганский район, пос. Приобье"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Соровское месторождение тяжелой нефти (Sorovskoye Heavy Oil Field),"Нефтеюганский район, пос. Соровое"
'SURGUTNEFTEGAS' PUBLIC JOINT STOCK COMPANY,Ватьеганское месторождение тяжелой нефти (Vatyenganskoye Heavy Oil Field),"Нефтеюганский район, пос. Ватьеган"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Head office,"Viale Egidio Galbani, 70 - 00156 Roma, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),National Dispatching Center,"Viale Egidio Galbani, 70 - 00156 Roma, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Research and Development Center,"Via Alessandro Volta, 2 - 00156 Roma, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Training Center,"Via Alessandro Volta, 2 - 00156 Roma, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Terna Plus,"Via Alessandro Volta, 2 - 00156 Roma, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Tamini,"Via Alessandro Volta, 2 - 00156 Roma, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Terna Nord Ovest,"Via Carlo Farini, 21 - 20159 Milano, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Terna Nord Est,"Via Carlo Alberto, 45 - 35122 Padova, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Terna Centro Italia,"Via Antonio Pacinotti, 10 - 00184 Roma, Italia"
'TERNA - RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI' (IN FORMA ABBREVIATA 'TERNA S.P.A.'),Terna Sud,"Via Giovanni Merliani, 2/4 - 80143 Napoli, Italia"
360 Finance Inc,360 Finance Inc. Headquarters,"No. 377, Tianhe Road, Yuexiu District, Guangzhou, 510630, China"
360 Finance Inc,360 Finance Inc. Beijing Office,"No. 101, Zhongguancun North Street, Haidian District, Beijing, 100080, China"
360 Finance Inc,360 Finance Inc. Shanghai Office,"No. 1800, Century Avenue, Pudong New Area, Shanghai, 200120, China"
360 Finance Inc,360 Finance Inc. Shenzhen Office,"No. 1001, Futian Boulevard, Futian District, Shenzhen, 518038, China"
360 Finance Inc,360 Finance Inc. Hangzhou Office,"No. 518, Wensan Road, Xihu District, Hangzhou, 310012, China"
360 Finance Inc,360 Finance Inc. Chengdu Office,"No. 1234, Tianfu Avenue, Hi-tech Zone, Chengdu, 610041, China"
360 Finance Inc,360 Finance Inc. Wuhan Office,"No. 567, Optics Valley Boulevard, East Lake High-tech Development Zone, Wuhan, 430074, China"
360 Finance Inc,360 Finance Inc. Xian Office,"No. 890, High-tech Avenue, High-tech Development Zone, Xian, 710075, China"
360 Finance Inc,360 Finance Inc. Nanjing Office,"No. 1111, Jianguo Road, Gulou District, Nanjing, 210009, China"
360 Finance Inc,360 Finance Inc. Chongqing Office,"No. 1234, Hongyadong Road, Shapingba District, Chongqing, 400030, China"
360 Finance Inc,360 Finance Inc. Dalian Office,"No. 567, Zhongshan Road, Dalian, 116001, China"
360 Finance Inc,360 Finance Inc. Qingdao Office,"No. 890, Olympic Avenue, Shibei District, Qingdao, 266061, China"
360 Finance Inc,360 Finance Inc. Xiamen Office,"No. 1111, Xiangan North Road, Jimei District, Xiamen, 361021, China"
360 Finance Inc,360 Finance Inc. Fuzhou Office,"No. 1234, Wuyi Road, Taijiang District, Fuzhou, 350003, China"
360 Finance Inc,360 Finance Inc. Nanning Office,"No. 567, Xingang Road, Qingxiu District, Nanning, 530000, China"
360 Finance Inc,360 Finance Inc. Haikou Office,"No. 890, Longquan Road, Longhua District, Haikou, 570100, China"
360 Finance Inc,360 Finance Inc. Hong Kong Office,"25/F, Tower 1, Times Square, 1 Matheson Street, Causeway Bay, Hong Kong, China"
360 Finance Inc,360 Finance Inc. Singapore Office,"10 Marina Boulevard, 18-06, Marina Bay Sands, Singapore 018982"
360 Finance Inc,360 Finance Inc. US Office,"101 California Street, Suite 3100, San Francisco, CA 94111, USA"
360 Finance Inc,360 Finance Inc. Japan Office,"1-1 Marunouchi, 1-chome, Chiyoda-ku, Tokyo 100-8208, Japan"
360 Finance Inc,360 Finance Inc. Korea Office,"11th Floor, Sejong Building, 123 Teheran-ro, Gangnam-gu, Seoul"
3I GROUP PLC,3i Group plc,"99 Bishopsgate, London EC2M 3XD"
3I GROUP PLC,3i Asia,"19/F, One Pacific Place, 88 Queensway, Central, Hong Kong"
3I GROUP PLC,3i Australia,"Level 25, 120 Collins Street, Melbourne VIC 3000"
3I GROUP PLC,3i Belgium,"Boulevard Albert II 19, 1000 Brussels"
3I GROUP PLC,3i Canada,"100 Bay Street, Suite 1300, Toronto, ON M5J 2V4"
3I GROUP PLC,3i China,"Room 1002, Tower 1, IFC, 8 Finance Street, Central, Hong Kong"
3I GROUP PLC,3i Denmark,"Højbro Plads 10, 1200 Copenhagen K"
3I GROUP PLC,3i Finland,"Mannerheimintie 19 A, 00100 Helsinki"
3I GROUP PLC,3i France,"8 Rue de Bercy, 75012 Paris"
3I GROUP PLC,3i Germany,"Bockenheimer Landstraße 33, 60323 Frankfurt am Main"
3I GROUP PLC,3i India,"901, Tower 1, One International Centre, Senapati Bapat Marg, Lower Parel, Mumbai-400013"
3I GROUP PLC,3i Ireland,"40 Merrion Square, Dublin 2"
3I GROUP PLC,3i Israel,"41 Rothschild Boulevard, Tel Aviv 65124"
3I GROUP PLC,3i Italy,"Via della Spiga 1, 20123 Milan"
3I GROUP PLC,3i Japan,"1-1-1 Nishi-Shinbashi, Minato-ku, Tokyo 105-0003"
3I GROUP PLC,3i Korea,"30F, Tower A, Gwanghwamun Financial Center, 240 Sejong-daero, Jongno-gu, Seoul 03188"
3I GROUP PLC,3i Luxembourg,"41 Boulevard du Prince Henri, L-1724 Luxembourg"
3I GROUP PLC,3i Netherlands,"Claude Debussylaan 54, 1082 MD Amsterdam"
3I GROUP PLC,3i New Zealand,"Level 26, ASB Tower, 205 Queen Street, Auckland 1010"
3I GROUP PLC,3i Norway,"Dronning Eufemias gate 34, 0191 Oslo"
3I GROUP PLC,3i Poland,"Al. Jana Pawła II 21/25, 00-822 Warsaw"
3I GROUP PLC,3i Portugal,"Rua da Prata 27, 1100-427 Lisbon"
3I GROUP PLC,3i Singapore,"One Raffles Quay, 23-02, South Tower, Singapore 048583"
3I GROUP PLC,3i Spain,"Paseo de la Castellana 259, 10C, 28046 Madrid"
3I GROUP PLC,3i Sweden,"Grev Turegatan 16, 114 46 Stockholm"
3I GROUP PLC,3i Switzerland,"Bahnhofstrasse 19, 8001 Zurich"
3I GROUP PLC,3i United Arab Emirates,"Dubai International Financial Centre, PO Box 507153, Dubai"
3I GROUP PLC,3i United States,"425 Lexington Avenue, 20th Floor, New York, NY 10017"
3M COMPANY,3M Corporate Headquarters,"3M Center, Saint Paul, MN 55101"
3M COMPANY,3M Austin Research Laboratory,"3M Austin Research Laboratory, 6801 River Place Boulevard, Austin, TX 78730"
3M COMPANY,3M Hutchinson Manufacturing Facility,"3M Hutchinson Manufacturing Facility, 1000 3M Circle, Hutchinson, MN 55350"
3M COMPANY,3M Menomonie Manufacturing Facility,"3M Menomonie Manufacturing Facility, 3M Center, Menomonie, WI 54751"
3M COMPANY,3M Minneapolis Research & Development Center,"3M Minneapolis Research & Development Center, 3M Center, Saint Paul, MN 55101"
3M COMPANY,3M St. Paul Manufacturing Facility,"3M St. Paul Manufacturing Facility, 3M Center, Saint Paul, MN 55101"
3M COMPANY,3M Wausau Manufacturing Facility,"3M Wausau Manufacturing Facility, 1000 3M Circle, Wausau, WI 54403"
3M COMPANY,3M Canada Headquarters,"3M Canada Headquarters, 1800 Robert-Bourassa Boulevard, Suite 200, Montreal, QC H3A 2A7"
3M COMPANY,3M Canada Research & Development Center,"3M Canada Research & Development Center, 1800 Robert-Bourassa Boulevard, Suite 200, Montreal, QC H3A 2A7"
3M COMPANY,3M London Manufacturing Facility,"3M London Manufacturing Facility, 1500 Talbotville Road, London, ON N6H 5L1"
3M COMPANY,3M Oakville Manufacturing Facility,"3M Oakville Manufacturing Facility, 2200 Eglinton Avenue East, Oakville, ON L6J 5Y4"
3M COMPANY,3M Mexico Headquarters,"3M Mexico Headquarters, Boulevard Miguel de Cervantes Saavedra 251, Colonia Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, Mexico"
3M COMPANY,3M Mexico Manufacturing Facilities,"3M Mexico Manufacturing Facilities, located in Chihuahua, Ciudad Juarez, Guadalajara, Lerma, Monterrey, Queretaro, and Tijuana"
3M COMPANY,3M Europe Headquarters,"3M Europe Headquarters, Avenue de Tervuren 270-272, 1150 Woluwe-Saint-Lambert, Belgium"
3M COMPANY,3M Europe Research & Development Center,"3M Europe Research & Development Center, Avenue de Tervuren 270-272, 1150 Woluwe-Saint-Lambert, Belgium"
3M COMPANY,3M Europe Manufacturing Facilities,"3M Europe Manufacturing Facilities, located in Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Norway, Poland, Portugal, Romania, Russia, Spain, Sweden, Switzerland, and the United Kingdom"
3M COMPANY,3M Asia Pacific Headquarters,"3M Asia Pacific Headquarters, 2 Kallang Avenue, 07-01, Mapletree Business City Tower 3, Singapore 339407"
3M COMPANY,3M Asia Pacific Research & Development Center,"3M Asia Pacific Research & Development Center, 2 Kallang Avenue, 07-01, Mapletree Business City Tower 3, Singapore 339407"
3M COMPANY,3M Asia Pacific Manufacturing Facilities,"3M Asia Pacific Manufacturing Facilities, located in Australia, China, Hong Kong, India, Indonesia, Japan, Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, and Thailand"
3M COMPANY,3M Latin America Headquarters,"3M Latin America Headquarters, Avenida das Nações Unidas, 12551, 13° Andar, São Paulo, SP 04578-000, Brazil"
3M COMPANY,3M Latin America Manufacturing Facilities,"3M Latin America Manufacturing Facilities, located in Argentina, Brazil, Chile, and Colombia"
3SBio Inc.,3SBio Inc. Headquarters,"1525 Perimeter Park Drive, Suite 215, Morrisville, NC 27560, USA"
3SBio Inc.,3SBio Inc. Production Facility,"1525 Perimeter Park Drive, Suite 215, Morrisville, NC 27560, USA"
3SBio Inc.,3SBio Inc. China Office,"2nd Floor, Building 2, No. 588, Jinshan Road, Shanghai, China"
3SBio Inc.,3SBio Inc. Europe Office,"3rd Floor, Building 6, 1000 Lakeside Avenue, Bracknell, Berkshire RG12 1DP, UK"
3SBio Inc.,3SBio Inc. Japan Office,"4th Floor, Shiba Frontier Building, 1-1-1 Shiba-Daimon, Minato-ku, Tokyo, Japan"
3SBio Inc.,3SBio Inc. Korea Office,"10th Floor, 20 Mapo-daero 34-gil, Mapo-gu, Seoul, South Korea"
A. O. SMITH CORPORATION,"Ashland City, TN","Manufacturing Facility, Division Headquarters"
A. O. SMITH CORPORATION,"Charlotte, NC",Manufacturing Facility
A. O. SMITH CORPORATION,"El Paso, TX",Distribution Center
A. O. SMITH CORPORATION,"Johnson City, TN",Manufacturing Facility
A. O. SMITH CORPORATION,"McBee, SC",Manufacturing Facility
A. O. SMITH CORPORATION,"Milwaukee, WI",World Headquarters
A. O. SMITH CORPORATION,"Fergus, ON, Canada",Manufacturing Facility
A. O. SMITH CORPORATION,"Harohalli, KA, India",Manufacturing Facility
A. O. SMITH CORPORATION,"Nanjing, Jiang Su Sheng, China",Manufacturing Facility
A. O. SMITH CORPORATION,"Stratford, ON, Canada","Manufacturing Facility, Distribution Facility"
A. O. SMITH CORPORATION,"İkitelli, İstanbul, Turkey",Manufacturing Facility
A. O. SMITH CORPORATION,"Veldhoven, NB, Netherlands","European Headquarters, Manufacturing Location"
A.P. Moller - Maersk A/S,APM Terminals Aarhus,"Aarhus, Denmark"
A.P. Moller - Maersk A/S,APM Terminals Bremerhaven,"Bremerhaven, Germany"
A.P. Moller - Maersk A/S,APM Terminals Copenhagen,"Copenhagen, Denmark"
A.P. Moller - Maersk A/S,APM Terminals Gothenburg,"Gothenburg, Sweden"
A.P. Moller - Maersk A/S,APM Terminals Helsingborg,"Helsingborg, Sweden"
A.P. Moller - Maersk A/S,APM Terminals Houston,"Houston, TX, USA"
A.P. Moller - Maersk A/S,APM Terminals Los Angeles,"Los Angeles, CA, USA"
A.P. Moller - Maersk A/S,APM Terminals Mumbai,"Mumbai, India"
A.P. Moller - Maersk A/S,APM Terminals New York,"Elizabeth, NJ, USA"
A.P. Moller - Maersk A/S,APM Terminals Rotterdam,"Rotterdam, Netherlands"
A.P. Moller - Maersk A/S,APM Terminals Savannah,"Savannah, GA, USA"
A.P. Moller - Maersk A/S,Maersk Container Industry Dongguan,"Dongguan, China"
A.P. Moller - Maersk A/S,Maersk Container Industry Qingdao,"Qingdao, China"
A.P. Moller - Maersk A/S,Maersk Drilling,"Esbjerg, Denmark"
A.P. Moller - Maersk A/S,Maersk Oil,"Copenhagen, Denmark"
A.P. Moller - Maersk A/S,A.P. Møller  Maersk A/S,"Copenhagen, Denmark"
A.P. Moller - Maersk A/S,A.P. Møller  Maersk A/S (North America),"Parsippany, NJ, USA"
A.P. Moller - Maersk A/S,A.P. Møller  Maersk A/S (South America),"São Paulo, Brazil"
